,num ; coinc ; date ; time ; sec ; RecTime ; A ; B ; C ; COINC ; Pressure ; Temp ; Humidity ; Altitude 
0,1; ABC; 4/2/2022; 8:19:5; 600; 600; 10189; 318295; 9304; 636; 0.00; 0.00; 0.00; 44330.00
1,2; ABC; 4/2/2022; 8:29:6; 1201; 600; 16506; 550991; 16378; 615; 0.00; 0.00; 0.00; 44330.00
2,3; ABC; 4/2/2022; 8:39:6; 1801; 600; 23494; 780259; 29128; 627; 0.00; 0.00; 0.00; 44330.00
3,4; ABC; 4/2/2022; 8:49:6; 2401; 600; 29133; 931902; 41008; 614; 0.00; 0.00; 0.00; 44330.00
4,5; ABC; 4/2/2022; 8:59:6; 3001; 600; 33508; 1024057; 48659; 631; 0.00; 0.00; 0.00; 44330.00
5,6; ABC; 4/2/2022; 9:9:6; 3601; 600; 35781; 1079396; 53731; 651; 0.00; 0.00; 0.00; 44330.00
6,7; ABC; 4/2/2022; 9:19:6; 4201; 600; 38108; 1131069; 57941; 629; 0.00; 0.00; 0.00; 44330.00
7,8; ABC; 4/2/2022; 9:29:6; 4801; 600; 39669; 1166124; 59459; 663; 0.00; 0.00; 0.00; 44330.00
8,9; ABC; 4/2/2022; 9:39:6; 5401; 600; 40904; 1186811; 60669; 664; 0.00; 0.00; 0.00; 44330.00
9,10; ABC; 4/2/2022; 9:49:6; 6001; 600; 42046; 1212527; 63753; 620; 0.00; 0.00; 0.00; 44330.00
11,2; ABC; 4/2/2022; 13:30:32; 600; 600; 11423; 446615; 13895; 595; 0.00; 0.00; 0.00; 44330.00
12,3; ABC; 4/2/2022; 13:40:32; 1200; 600; 19477; 731493; 28768; 678; 0.00; 0.00; 0.00; 44330.00
13,4; ABC; 4/2/2022; 13:50:33; 1801; 600; 28730; 979911; 45377; 669; 0.00; 0.00; 0.00; 44330.00
14,5; ABC; 4/2/2022; 14:0:33; 2401; 600; 36459; 1153083; 59458; 671; 0.00; 0.00; 0.00; 44330.00
15,6; ABC; 4/2/2022; 14:10:32; 3001; 600; 41397; 1267567; 68480; 658; 0.00; 0.00; 0.00; 44330.00
16,7; ABC; 4/2/2022; 14:20:33; 3601; 600; 46488; 1361094; 76654; 676; 0.00; 0.00; 0.00; 44330.00
17,8; ABC; 4/2/2022; 14:30:33; 4201; 600; 50268; 1425657; 84433; 668; 0.00; 0.00; 0.00; 44330.00
18,9; ABC; 4/2/2022; 14:40:33; 4801; 600; 52776; 1458138; 88973; 682; 0.00; 0.00; 0.00; 44330.00
19,10; ABC; 4/2/2022; 14:50:33; 5401; 600; 54242; 1464778; 91536; 690; 0.00; 0.00; 0.00; 44330.00
20,11; ABC; 4/2/2022; 15:0:33; 6001; 600; 55651; 1477226; 94365; 732; 0.00; 0.00; 0.00; 44330.00
21,12; ABC; 4/2/2022; 15:10:32; 6601; 600; 55938; 1484233; 95926; 639; 0.00; 0.00; 0.00; 44330.00
22,13; ABC; 4/2/2022; 15:20:33; 7202; 600; 56723; 1482810; 94808; 693; 0.00; 0.00; 0.00; 44330.00
23,14; ABC; 4/2/2022; 15:30:34; 7802; 600; 57151; 1477934; 92031; 699; 0.00; 0.00; 0.00; 44330.00
24,15; ABC; 4/2/2022; 15:40:35; 8403; 600; 57201; 1485487; 90667; 667; 0.00; 0.00; 0.00; 44330.00
25,16; ABC; 4/2/2022; 15:50:36; 9005; 600; 58253; 1484453; 92534; 649; 0.00; 0.00; 0.00; 44330.00
26,17; ABC; 4/2/2022; 16:0:38; 9606; 600; 57690; 1488290; 96092; 663; 0.00; 0.00; 0.00; 44330.00
27,18; ABC; 4/2/2022; 16:10:37; 10206; 600; 57818; 1486038; 99115; 670; 0.00; 0.00; 0.00; 44330.00
28,19; ABC; 4/2/2022; 16:20:37; 10806; 600; 57658; 1483343; 99521; 701; 0.00; 0.00; 0.00; 44330.00
29,20; ABC; 4/2/2022; 16:30:37; 11406; 600; 57855; 1495379; 99377; 714; 0.00; 0.00; 0.00; 44330.00
